,0
2019-06-03,0
2019-06-04,1
2019-06-05,2
2019-06-07,3
2019-06-10,4
2019-06-11,5
2019-06-12,6
2019-06-13,7
2019-06-14,8
2019-06-17,9
2019-06-18,10
2019-06-19,11
2019-06-20,12
2019-06-21,13
2019-06-24,14
2019-06-25,15
2019-06-26,16
2019-06-27,17
2019-06-28,18
2019-07-01,19
2019-07-02,20
2019-07-03,21
2019-07-04,22
2019-07-05,23
2019-07-08,24
2019-07-09,25
2019-07-10,26
2019-07-11,27
2019-07-12,28
2019-07-15,29
2019-07-16,30
2019-07-17,31
2019-07-18,32
2019-07-19,33
2019-07-22,34
2019-07-23,35
2019-07-24,36
2019-07-25,37
2019-07-26,38
2019-07-29,39
2019-07-30,40
2019-07-31,41
2019-08-01,42
2019-08-02,43
2019-08-12,44
2019-08-13,45
2019-08-14,46
2019-08-19,47
2019-08-20,48
2019-08-21,49
2019-08-22,50
2019-08-23,51
2019-08-26,52
2019-08-27,53
2019-08-28,54
2019-08-29,55
2019-08-30,56
2019-09-02,57
2019-09-03,58
2019-09-04,59
